Date,Open,High,Low,Close,Adj Close,Volume
2022-02-09,4350.000000,4499.000000,4325.649902,4485.000000,4479.894531,268806
2022-02-10,4500.000000,4538.000000,4448.399902,4499.549805,4494.427734,156483
2022-02-11,4474.000000,4474.000000,4350.000000,4364.549805,4359.581055,247863
2022-02-14,4202.250000,4273.450195,4129.000000,4146.500000,4141.779785,331141
2022-02-15,4181.899902,4319.950195,4144.100098,4297.950195,4293.057617,301791
2022-02-16,4330.000000,4352.000000,4225.100098,4272.899902,4268.035645,265377
2022-02-17,4288.000000,4329.950195,4183.549805,4193.500000,4188.726074,282927
2022-02-18,4165.000000,4220.500000,4038.600098,4069.600098,4064.967529,344777
2022-02-21,4050.000000,4207.750000,3974.050049,4086.800049,4082.147705,444662
2022-02-22,3970.000000,4182.100098,3936.949951,4159.500000,4154.765137,397077
2022-02-23,4200.000000,4285.000000,4180.000000,4237.450195,4232.626465,381395
2022-02-24,4095.000000,4158.850098,4002.000000,4049.600098,4044.990234,544656
2022-02-25,4132.000000,4454.549805,4128.000000,4434.149902,4429.102051,660996
2022-02-28,4340.000000,4351.000000,4242.250000,4318.250000,4313.334473,345385
2022-03-02,4282.200195,4344.000000,4241.000000,4280.799805,4275.926270,202688
2022-03-03,4332.250000,4378.200195,4209.049805,4222.200195,4217.394043,188372
2022-03-04,4200.000000,4222.100098,4130.000000,4151.649902,4146.923828,213189
2022-03-07,4025.000000,4095.000000,3937.000000,4060.649902,4056.027588,263177
2022-03-08,4051.000000,4136.950195,4003.000000,4073.750000,4069.112549,198639
2022-03-09,4080.000000,4150.000000,4052.000000,4092.350098,4087.691406,243486
2022-03-10,4224.000000,4224.000000,4095.000000,4125.350098,4120.653809,309356
2022-03-11,4125.000000,4194.950195,4095.000000,4153.950195,4149.221680,184965
2022-03-14,4160.000000,4459.950195,4115.000000,4336.600098,4331.663574,492943
2022-03-15,4376.000000,4423.000000,4253.049805,4284.200195,4279.323242,340580
2022-03-16,4325.000000,4499.950195,4322.000000,4413.200195,4408.176758,533766
2022-03-17,4488.000000,4545.000000,4454.000000,4478.600098,4473.501953,816551
2022-03-21,4507.000000,4528.000000,4421.149902,4508.399902,4503.267578,198594
2022-03-22,4488.850098,4499.000000,4343.600098,4374.000000,4369.020508,333424
